,animal_id,time,Plate.ID,species,0.00390625,0.0058594,0.0078125,0.011719,0.015625,0.0234375,0.023438,0.03125,0.046875,0.0625,0.09375,0.125,0.1875,0.25,0.375,0.5,1,npar,Infl.logX,Infl.propY,Prop.BottomAsym,Prop.TopAsym,Log.Xinfl,Log.Slope,Asym.Coef,gof,wgof,stdErr,wstdErr
23,elephant103101,0,7WT,elephant,NA,0.007836579,NA,0.007048116,NA,NA,NA,NA,0.966701815,NA,0.963205505,NA,0.960042178,NA,0.962872523,NA,NA,4,-1.683946224,0.485270203,0.007441847,0.963098559,-1.683946224,37.26424832,1,0.999981364,0.999998886,0.002382136,0.001165052
24,elephant103101,30,7WT,elephant,NA,0.002552861,NA,0.006335604,NA,NA,NA,NA,0.98201898,NA,0.975359343,NA,0.968200233,NA,0.998335091,NA,NA,4,-1.770717735,0.491344431,0.002555162,0.980133701,-1.770717735,15.03136566,1,0.999606879,0.999998944,0.011180875,0.001158858
25,elephant103101,60,7WT,elephant,NA,0.006128,NA,0.003666909,NA,NA,NA,NA,0.973361452,NA,0.962539542,NA,0.957378323,NA,0.962040069,NA,NA,5,-1.866647711,0.362123774,0.004896939,0.962599895,-1.939129243,21.38445026,35.47951916,0.99988059,0.999994832,0.006050237,0.002517442
26,elephant103101,120,7WT,elephant,NA,0.007880571,NA,0.003487644,NA,NA,NA,NA,0.984682835,NA,0.981519507,NA,0.979854598,NA,0.985515289,NA,NA,4,-1.611481929,0.494303154,0.005683607,0.9829227,-1.611481929,38.05981221,1,0.999975771,0.999996195,0.00277717,0.002201194
27,elephant103101,240,8WT,elephant,NA,0.006484999,NA,0.009861553,NA,NA,NA,NA,0.971598043,NA,0.96553665,NA,0.965363467,NA,0.96882712,NA,NA,4,-1.77308682,0.487104198,0.00648437,0.967724027,-1.77308682,15.52016744,1,0.999978352,0.999999818,0.002577918,0.000473071
28,iguana3,0,IG3,iguana,NA,0.034404072,NA,0.065560821,NA,NA,0.380024574,NA,0.938915219,NA,0.934878006,NA,NA,NA,NA,NA,NA,5,-1.549160722,0.656548373,0.030966011,0.937055472,-1.506310064,15.67721482,0.212922235,0.999988087,0.999999634,0.00177948,0.00054039
29,iguana3,30,IG3,iguana,NA,0.028787081,NA,0.023521151,NA,NA,0.024486572,NA,0.961032122,NA,0.96068106,NA,NA,NA,NA,NA,NA,5,-1.604834821,0.370299789,0.025009368,0.960856094,-1.647580527,52.16396254,169.7404697,0.999983975,0.999998769,0.0023679,0.001136943
30,iguana3,60,IG3,iguana,NA,0.024925399,NA,0.033701948,NA,NA,0.006429848,NA,0.929787608,NA,0.932420572,NA,NA,NA,NA,NA,NA,5,-1.519905376,0.368072599,0.023852259,0.932421246,-1.611174103,13.2923048,16.33697862,0.999595393,0.999998552,0.011571663,0.001198983
31,iguana3,120,IG3,iguana,NA,0.019835001,NA,0.044058276,NA,NA,0.012901527,NA,0.984992101,NA,0.976127787,NA,NA,NA,NA,NA,NA,4,-1.540141034,0.501454053,0.022348663,0.980559444,-1.540141034,100.81088,1,0.999446385,0.999934179,0.014214573,0.008489343
32,iguana3,240,IG3,iguana,NA,0.034228541,NA,0.07240653,NA,NA,0.010005266,NA,0.967175707,NA,0.966473583,NA,NA,NA,NA,NA,NA,5,-1.590307578,0.379928332,0.035340431,0.966824145,-1.647076839,34.3467682,89.09239898,0.998051488,0.999926882,0.025930992,0.008700418
